순번,RAPA식별코드,공사명,건물명/도로명,본부,시도,시군구,읍면동,주소,세대수,동수,관로동,위도,경도,폴리곤확보여부,단지건물수(폴리곤),건물데이터출처,도면보유여부,분석상태,종합커버리지(%),설치Site수,설치Sector수,분석소요시간(초),분석일시(KST),분석출처,특이사항/에러,사업년도,준공예정일,준공사
278,m-RAPA-2502-0296,경기도 의정부시 호원동 57-3번지 일원 주상복합아파트 계획안 (LH매입임대사업),경기도 의정부시 호원동 주상복합아파트,수도권,경기도,의정부시,호원동,경기도 의정부시 호원동 57 3,81,1,미지정,37.71970998,127.0461445,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-30,RAPA
279,m-RAPA-2209-5273,수성구 청솔로 가로주택정비사업,수성청솔로아파트,동부,대구광역시,수성구,수성동3가,대구광역시 수성구 수성동3가 23,90,1,1. 지상1층 : D.A 상부 인근,35.85834937,128.6209376,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-30,SKT
280,m-RAPA-2204-1931,울산광역시 남구 신정동 638-1번지 공동주택 신축공사,힐스테이트 문수로 센트럴,동부,울산광역시,남구,신정동,울산광역시 남구 신정동 638 1,301,2,미지정,35.54141302,129.3076789,확보,433,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-30,RAPA
281,m-RAPA-2204-1933,울산광역시 남구 신정동 636-1번지 공동주택 신축공사,울산광역시 남구 신정동 공동주택,동부,울산광역시,남구,신정동,울산광역시 남구 신정동 636 1,301,2,미지정,35.54181018,129.307638,확보,433,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-30,RAPA
282,m-RAPA-2211-6083,서대문구 홍은동 크로바빌라 가로주택정비사업,홍은동 크로바빌라 아파트,수도권,서울특별시,서대문구,홍은동,서울특별시 서대문구 홍은동 277 200,40,1,1.지상1층: 펌프실 상부 지하층 환기부 인근 건축물 외벽(도로향),37.57961581,126.9335834,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-30,RAPA
283,m-RAPA-2107-4654,힐스테이트선화더와이즈,힐스테이트선화더와이즈,중부,대전광역시,중구,선화동,대전광역시 중구 선화동 85,851,5,"401,402,404",36.33603809,127.4185097,확보,51,complex_polygon+buffer0.0015,미보유,완료 (OK),66.1,2,4,232,2026-09-07 05:42:05,배치(자동),,2027,2027-01-30,-
284,m-RAPA-2103-1329,대구 달서구 본리동 주거복합 신축공사,본리자이,동부,대구광역시,달서구,본리동,대구광역시 달서구 본리동 661 9,0,3,미지정,35.83765969,128.5330766,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-30,KT
285,m-RAPA-2009-5139,상봉라온프라이빗아파트,상봉라온프라이빗아파트,수도권,서울특별시,중랑구,중화동,서울특별시 중랑구 중화동 296 44,219,2,1.지상1층: 지상주차장 출입구 인근 지하층 환기부(도로향),37.59634896,127.0793908,확보,277,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-30,KT
286,m-RAPA-2106-3707,더샵광양레이크센텀,더샵광양레이크센텀,서부,전남광주통합특별시,광양시,마동,전남광주통합특별시 광양시 마동 348 4,920,9,"102,106,107,108",34.949912,127.70337,확보,37,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-01-29,-
287,m-RAPA-2411-3071,행정중심복합도시 5-1생활권 L5BL 아파트 건설공사,세종 5-1생활권 L5블록 아파트,중부,세종특별자치시,세종,연동면,세종특별자치시 세종 연동면 합강리 행정중심복합도시건설사업 5-1생활권 L5,1327,19,"501,502,506,508,510,000,000,000",36.52061853,127.347961,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-01-28,-
