순번,RAPA식별코드,공사명,건물명/도로명,본부,시도,시군구,읍면동,주소,세대수,동수,관로동,위도,경도,폴리곤확보여부,단지건물수(폴리곤),건물데이터출처,도면보유여부,분석상태,종합커버리지(%),설치Site수,설치Sector수,분석소요시간(초),분석일시(KST),분석출처,특이사항/에러,사업년도,준공예정일,준공사
32,m-RAPA-2310-3755,마곡지구 16단지 아파트 건설사업,마곡 엠밸리 16단지,수도권,서울특별시,강서구,마곡동,서울특별시 강서구 마곡동 753,608,6,"160,116,031,604",37.57194899,126.824837,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-11-29,-
33,m-RAPA-2401-0286,검단신도시푸르지오더파크아파트,검단신도시푸르지오더파크아파트,수도권,인천광역시,검단구,마전동,인천광역시 검단구 마전동 인천검단지구 택지개발사업 AA28,919,13,"700,270,057,007,700,000,000,000",37.600015,126.672565,확보,71,complex_polygon+buffer0.0015,미보유,완료 (OK),66.5,3,7,299,2026-09-05 21:44:05,배치(자동),,2027,2027-11-29,KT
34,m-RAPA-1902-0738,원주시 원동 다박골 주택재개발 정비사업 공동주택(2단지) 신축공사,원주 푸르지오 더센트럴,수도권,강원특별자치도,원주시,원동,강원특별자치도 원주시 원동 274 40,229,3,미지정,37.34350101,127.9463628,확보,461,complex_polygon+buffer0.0015,미보유,완료 (OK),66.6,3,7,1660,2026-09-06 20:40:02,배치(자동),,2027,2027-11-29,RAPA
35,m-RAPA-1902-0739,원주시 원동 다박골 주택재개발 정비사업 공동주택(1단지) 신축공사,원주 푸르지오 더 센트럴,수도권,강원특별자치도,원주시,원동,강원특별자치도 원주시 원동 274 40,1273,15,"101,103,104,108,111,000",37.34350101,127.9463628,확보,461,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-11-29,SKT
36,m-RAPA-1810-6059,성남시 산성구역 주택재개발 정비사업 [4BL],산성역 헤리스톤,수도권,경기도,성남시 수정구,산성동,경기도 성남시 수정구 산성동 1336,1682,24,"403,405,410,411,412,000,000,000,000,000",37.45436411,127.1520017,확보,473,complex_polygon+buffer0.0015,미보유,완료 (OK),60.2,5,15,12049,2026-09-06 23:33:12,배치(자동),,2027,2027-11-24,SKT
37,m-RAPA-1810-6058,성남시 산성구역 주택재개발 정비사업 [3BL],산성역 헤리스톤,수도권,경기도,성남시 수정구,산성동,경기도 성남시 수정구 산성동 1336,603,9,"304,306,307,308",37.45446354,127.1515434,확보,473,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-11-24,SKT
38,m-RAPA-1810-6053,성남시 산성구역 주택재개발 정비사업 [1BL],산성역 헤리스톤,수도권,경기도,성남시 수정구,산성동,경기도 성남시 수정구 산성동 1336,421,4,미지정,37.45446354,127.1515434,확보,473,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-11-24,RAPA
39,m-RAPA-2110-6396,시흥하중 공공주택지구 A-4BL 공동주택 건설공사,시흥하중 A-4블록 신혼희망타운,수도권,경기도,시흥시,하중동,경기도 시흥시 하중동 시흥하중 공공주택지구 A-4,584,11,"101,103,105,106,109",37.39750961,126.7994155,확보,86,complex_polygon+buffer0.0015,미보유,완료 (OK),73.5,3,7,159,2026-09-06 20:42:41,배치(자동),,2027,2027-11-11,LGU+
40,m-RAPA-2302-0604,광주송암공원중흥S-클래스SK뷰_아파트,광주송암공원중흥S-클래스SK뷰_아파트,서부,전남광주통합특별시,남구,송하동,전남광주통합특별시 남구 송하동 177,1577,17,"102,104,105,109,110,000,000,000",35.10574946,126.8844474,확보,153,complex_polygon+buffer0.0015,미보유,완료 (OK),69.7,4,10,491,2026-09-06 20:50:52,배치(자동),,2027,2027-11-11,-
41,m-RAPA-1901-0546,김포북변우미린파크리브아파트,김포북변우미린파크리브아파트,수도권,경기도,김포시,북변동,경기도 김포시 북변동 329 2,1193,13,"103,104,106,108,110,000",37.62669388,126.707143,확보,245,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-11-11,KT
42,m-RAPA-2207-4396,의정부 금오동 터미널부지 내 공동주택 신축공사,의정부역 트리플시티,수도권,경기도,의정부시,금오동,경기도 의정부시 금오동 360 4,656,4,"101,102,103,104",37.74684657,127.0570668,확보,14,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-11-11,LGU+
43,m-RAPA-2202-1044,뉴타운맨션 삼호아파트지구 재건축정비사업,뉴타운맨션·삼호아파트,수도권,경기도,안양시 동안구,비산동,경기도 안양시 동안구 비산동 354 10,2737,26,"104,106,109,110,112,000,000,000,000,000,000",37.40180243,126.9445455,확보,144,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-11-11,LGU+
44,m-RAPA-2302-0378,사하구 감천동 공동주택 신축공사,감천 경남아너스빌,동부,부산광역시,사하구,감천동,부산광역시 사하구 감천동 582 1,380,6,미지정,35.09284858,128.9953015,확보,302,complex_polygon+buffer0.0015,미보유,완료 (OK),64.3,2,3,104,2026-09-06 20:52:36,배치(자동),,2027,2027-11-11,RAPA
45,m-RAPA-2401-0071,의왕 월암 B2블럭 공동주택 신축공사,의왕월암지구 디에트르 레이크파크,수도권,경기도,의왕시,월암동,경기도 의왕시 월암동 의왕월암 공공주택지구 B2,703,7,"203,206,207",37.30775909,126.9592675,확보,43,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-11-11,SKT
46,m-RAPA-2407-1997,봉선동 161번지 일원,봉선동 르오네뜨 2차,서부,전남광주통합특별시,남구,봉선동,전남광주통합특별시 남구 봉선동 161,56,1,미지정,35.12618987,126.9139939,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-11-07,RAPA
47,m-RAPA-2312-4359,부산모라 복합개발 공동주택,-,동부,부산광역시,사상구,모라동,부산광역시 사상구 모라동 656 6,94,1,1. 지상1층 : D.A 상부 인근,35.1892653,128.9855333,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-31,RAPA
48,m-RAPA-2306-2163,반포디에이치클래스트아파트_2/3단지,반포디에이치클래스트아파트_2/3단지,수도권,서울특별시,서초구,반포동,서울특별시 서초구 반포동 810,5002,50,"101,103,104,109,113,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",37.50328887,126.9874431,확보,105,complex_polygon+buffer0.0015,미보유,완료 (OK),63.0,11,30,25900,2026-09-07 04:04:16,배치(자동),,2027,2027-10-31,KT
49,m-RAPA-2107-4640,부산 장안지구 공동주택  내 B-1BL 우미린 공동주택 신축공사,부산장안지구우미린프리미어아파트,동부,부산광역시,기장군,장안읍,부산광역시 기장군 장안읍 좌동리 부산장안지구 택지개발사업 B-1,419,4,미지정,35.321858,129.239099,확보,37,complex_polygon+buffer0.0015,미보유,완료 (OK),82.2,2,5,16,2026-09-06 23:33:28,배치(자동),,2027,2027-10-31,KT
50,m-RAPA-2210-5889,부산광역시 진구 범천동 858-53번지 주거형 오피스텔 신축공사,희망더함아파트,동부,부산광역시,부산진구,범천동,부산광역시 부산진구 범천동 858 53,100,1,미지정,35.14831152,129.060099,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-30,KT
51,m-RAPA-2410-2982,인천검단 AA-19BL아파트,인천검단 AA-19BL아파트,수도권,인천광역시,검단구,불로동,인천광역시 검단구 불로동 인천검단지구 택지개발사업 AA19,1323,6,"190,219,041,906",37.6088705,126.7027419,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-30,LGU+
52,m-RAPA-2302-0462,계양롯데캐슬파크시티1단지_아파트,계양롯데캐슬파크시티1단지_아파트,수도권,인천광역시,계양구,효성동,인천광역시 계양구 효성동 효성 도시개발구역 공3,1964,20,"10,021,004,100,610,100,000,000,000,000,000",37.533198,126.703314,확보,52,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-30,KT
53,m-RAPA-1905-3023,'19 인천검단지구 AA19BL 공동주택(국민/영구),-,수도권,인천광역시,검단구,불로동,인천광역시 검단구 불로동 검단지구 AA19,1322,8,"190,119,041,906",37.608916,126.70273,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-30,SKT
54,m-RAPA-2408-2237,영도 청학동 414-50,한라청학아파트,동부,부산광역시,영도구,청학동,부산광역시 영도구 청학동 414 50,0,9,1. 지하1층 : 쓰레기집하장 인근 외벽,35.09292409,129.057924,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-30,RAPA
55,m-RAPA-2305-1719,서울 중랑구 신내동 482-1 신일빌라 소규모재건축정비사업,신일빌라 소규모재건축정비사업조합,수도권,서울특별시,중랑구,신내동,서울특별시 중랑구 신내동 482 1,68,1,1.지상1층: 야외커뮤니티 인근 지하층 환기부,37.60281374,127.0974466,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-29,RAPA
56,m-RAPA-2110-6170,지금도농1-1구역 재개발 정비사업,다산동아파트,수도권,경기도,남양주시,다산동,경기도 남양주시 다산동 4312 4,400,6,미지정,37.61011183,127.1501885,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-28,RAPA
57,m-RAPA-2206-3348,수원시 장안구 정자동 주상복합 신축공사,정자동주상복합아파트,수도권,경기도,수원시 장안구,정자동,경기도 수원시 장안구 정자동 435 1,92,1,미지정,37.30603981,126.9921201,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-28,SKT
58,m-RAPA-2211-6191,서울시 동작구 노량진동 117-1번지외 2필지 개발사업,동작구 노량진동 117-2 역세권 청년주택,수도권,서울특별시,동작구,노량진동,서울특별시 동작구 노량진동 117 1,432,1,미지정,37.51362887,126.9444974,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-25,LGU+
59,m-RAPA-2310-3547,천안아이파크시티,천안아이파크시티,중부,충청남도,천안시 서북구,성성동,충청남도 천안시 서북구 성성동 34 4,1126,11,"101,102,104,105,106,000,000,000",36.84281008,127.1417631,확보,45,complex_polygon+buffer0.0015,미보유,완료 (OK),65.3,3,8,121,2026-09-06 23:35:29,배치(자동),,2027,2027-10-23,-
60,m-RAPA-2310-3536,원주무실 A-1BL 공동주택 건설공사,원주무실 A-1블록 공공임대주택,수도권,강원특별자치도,원주시,무실동,강원특별자치도 원주시 무실동 원주무실 공공지원민간임대주택 공급촉진지구 A-1,580,9,"101,102,104,106,108",37.309801,127.9237648,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-10-20,SKT
61,m-RAPA-2110-6621,순창 순화지구 도시개발구역 2BL 공동주택 신축공사,대상 웰라움 순창,서부,전북특별자치도,순창군,순창읍,전북특별자치도 순창군 순창읍 순화리 순창 순화지구 도시개발구역 공동2,263,5,미지정,35.38151155,127.1374385,확보,22,complex_polygon+buffer0.0015,미보유,완료 (OK),70.8,1,3,5,2026-09-06 23:35:34,배치(자동),,2027,2027-10-20,RAPA
62,m-RAPA-1810-6057,성남시 산성구역 주택재개발 정비사업 [2BL],산성역 헤리스톤,수도권,경기도,성남시 수정구,산성동,경기도 성남시 수정구 산성동 1336,781,8,"202,206,207,208",37.45446354,127.1515434,확보,473,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-17,SKT
63,m-RAPA-2110-6492,'21 부천대장 A-7BL 공공주택 건설공사,부천대장 A7블록 공공분양주택,수도권,경기도,부천시 오정구,원종동,경기도 부천시 오정구 원종동 부천대장 공공주택지구 A-7,473,12,미지정,37.5358988,126.7959622,확보,39,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-14,RAPA
64,m-RAPA-2110-6637,부천대장A6BL 공동주택 설계용역,e편한세상 대장 퍼스티움,수도권,경기도,부천시 오정구,오정동,경기도 부천시 오정구 오정동 부천대장 공공주택지구 A6,688,14,"602,605,607,611",37.53471829,126.7906987,확보,39,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-14,LGU+
65,m-RAPA-2110-6635,부천대장A5BL 공동주택 설계용역,e편한세상 대장 퍼스티움,수도권,경기도,부천시 오정구,오정동,경기도 부천시 오정구 오정동 부천대장 공공주택지구 A5,952,22,"501,503,509,512,513,000,000",37.53644483,126.7913388,확보,37,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-14,LGU+
66,m-RAPA-2110-6225,고양창릉 S6블록 공동주택 신축공사,고양창릉 S-6블록 공공분양주택,수도권,경기도,고양시 덕양구,도내동,경기도 고양시 덕양구 도내동 고양창릉 공공주택지구 S6,430,10,미지정,37.62018237,126.8691262,확보,83,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-12,RAPA
67,m-RAPA-2110-6148,대전롯데캐슬더퍼스트,대전롯데캐슬더퍼스트,중부,대전광역시,동구,가오동,대전광역시 동구 가오동 394,952,10,"101,103,105,106,107,000,000",36.30841539,127.4494589,확보,245,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-10,KT
68,m-RAPA-2203-1679,양주시 용암3지구 공동주택 신축공사,양주용암3지구 지역주택조합아파트,수도권,경기도,양주시,은현면,경기도 양주시 은현면 용암리 784 8,644,7,"101,103,106",37.84727785,127.0396207,확보,35,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-07,SKT
69,m-RAPA-2305-1793,제주시 오등봉공원 민간공원 특례사업 공동주택 1단지 신축공사,위파크 제주,서부,제주특별자치도,제주시,오라이동,제주특별자치도 제주시 오라이동 854 1,686,15,"105,107,109,113",33.47144453,126.5139451,확보,49,complex_polygon+buffer0.0015,미보유,완료 (OK),68.2,4,10,249,2026-09-06 23:39:43,배치(자동),,2027,2027-10-07,KT
70,m-RAPA-1909-5157,파주 문산3리지구 주택재개발정비사업 동문굿모닝힐 아파트 신축공사,문산역3차 동문 디 이스트 센트럴,수도권,경기도,파주시,문산읍,경기도 파주시 문산읍 문산리 80 11,951,7,"301,303,305",37.86011659,126.7845375,확보,615,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-07,KT
71,m-RAPA-2204-2378,번영로하늘채라크뷰아파트,번영로하늘채라크뷰아파트,동부,울산광역시,남구,야음동,울산광역시 남구 야음동 363 1,803,8,"103,104,105,106,108",35.51839,129.335815,확보,660,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-07,KT
72,m-RAPA-2104-2131,나리벡시티 공동주택 신축공사,의정부 롯데캐슬 나리벡시티,수도권,경기도,의정부시,금오동,경기도 의정부시 금오동 26 19,671,4,"101,103",37.75678908,127.0728027,확보,87,complex_polygon+buffer0.0015,미보유,완료 (OK),72.1,4,7,1,2026-08-27 09:40:04,화면(수동),,2027,2027-10-07,SKT
73,m-RAPA-1911-6324,롯데캐슬시그니처중앙아파트,롯데캐슬시그니처중앙아파트,수도권,경기도,안산시 단원구,고잔동,경기도 안산시 단원구 고잔동 674,1051,7,"501,504,505",37.32177373,126.835742,확보,72,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-07,KT
74,m-RAPA-2305-1794,제주시 오등봉공원 민간공원 특례사업 공동주택 2단지 신축공사,위파크 제주,서부,제주특별자치도,제주시,오라이동,제주특별자치도 제주시 오라이동 923,715,13,"204,207,210",33.47864373,126.5173961,확보,27,complex_polygon+buffer0.0015,미보유,완료 (OK),64.7,3,9,294,2026-09-06 23:44:37,배치(자동),,2027,2027-10-07,KT
75,m-RAPA-1902-0897,아크로리츠카운티아파트,아크로리츠카운티아파트,수도권,서울특별시,서초구,방배동,서울특별시 서초구 방배동 1018 1,707,8,"101,103,107",37.47869905,127.0017411,확보,143,complex_polygon+buffer0.0015,미보유,완료 (OK),60.8,2,5,386,2026-09-06 23:51:03,배치(자동),,2027,2027-10-05,LGU+
76,m-RAPA-2201-0290,더샵탕정인피니티시티3차아파트,더샵탕정인피니티시티3차아파트,중부,충청남도,아산시,탕정면,충청남도 아산시 탕정면 갈산리 아산탕정2 도시개발구역 A-2,1167,9,"201,202,203,204,206,000,000,000",36.79049167,127.0713403,확보,59,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-10-02,SKT
77,m-RAPA-2205-3019,충남 아산 매곡리 공공지원 민간임대주택,아산 탕정 매곡 공공지원 민간임대주택,중부,충청남도,아산시,탕정면,충청남도 아산시 탕정면 매곡리 공공지원민간임대주택 공급촉진지구 S-1,1712,15,"102,103,104,107,111,000,000",36.80989553,127.0931832,미확보,0,error,미보유,완료 (OK),36.3,1,2,1,2026-08-17 22:14:25,배치(자동),,2027,2027-09-30,LGU+
78,m-RAPA-2107-4134,공성아파트 소규모재건축사업,공성아파트,수도권,서울특별시,동대문구,제기동,서울특별시 동대문구 제기동 892 65,76,1,1.지상1층: 팬룸#1 상부 지하층 환기부 인근,37.58096522,127.0358691,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-09-29,RAPA
79,m-RAPA-2205-2760,더샵의정부역링크시티아파트,더샵의정부역링크시티아파트,수도권,경기도,의정부시,의정부동,경기도 의정부시 의정부동 248 3,1404,6,"102,104,105,106",37.74258981,127.0409042,확보,496,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,KT
80,m-RAPA-2403-0883,광명시 구름산 도시개발사업지구 A4BL 공동주택 신축공사,광명유승한내들 라포레,수도권,경기도,광명시,소하동,경기도 광명시 소하동 324 24,444,10,미지정,37.4389774,126.8773805,확보,266,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,RAPA
81,m-RAPA-2201-0468,화성시 비봉지구 B-1BL 공동주택 신축공사,화성 비봉지구 B1블록 금성백조 예미지2차,수도권,경기도,화성시 효행구,비봉면,경기도 화성시 효행구 비봉면 삼화리 화성비봉 공공주택지구 B-1,530,5,"202,203",37.25136515,126.8650102,확보,60,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,KT
82,m-RAPA-2109-5774,힐스테이트더샵상생공원2단지,힐스테이트더샵상생공원2단지,동부,경상북도,포항시 남구,대잠동,경상북도 포항시 남구 대잠동 상생근린공원 민간공원조성 특례사업 2,1668,12,"201,203,205,206,208,000",36.01828575,129.3367332,확보,95,complex_polygon+buffer0.0015,미보유,완료 (OK),65.6,4,10,277,2026-09-06 23:57:17,배치(자동),,2027,2027-09-29,-
83,m-RAPA-1705-06-02-41,양동지역주택조합 아파트 신축공사,양동 양우내안애 위니드,서부,전남광주통합특별시,서구,양동,전남광주통합특별시 서구 양동 367 100,155,2,미지정,35.15726146,126.8986364,미확보,0,error,미보유,실패 (NOK),,,,1,2026-09-05 01:18:00,배치(자동),유효한 건물 또는 단지 폴리곤 데이터가 없습니다 (key: RAPA-1705-06-02-41),2027,2027-09-29,RAPA
84,m-RAPA-2011-6153,익산송학 주거복지지사 복합개발사업,익산송학 행복주택,서부,전북특별자치도,익산시,송학동,전북특별자치도 익산시 송학동 97 22,80,1,1. 지상1층 : D.A 상부 인근,35.93813128,126.9403526,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-09-29,RAPA
85,m-RAPA-2202-1060,대전문화 문화공원 특례사업 공동주택 신축공사,대전 문화공원 수자인,중부,대전광역시,중구,문화동,대전광역시 중구 문화동 47,509,11,"101,105,108,109",36.30786205,127.4110244,확보,132,complex_polygon+buffer0.0015,미보유,완료 (OK),66.8,2,6,97,2026-09-06 23:52:40,배치(자동),,2027,2027-09-29,SKT
86,m-RAPA-2011-6379,원봉공원힐데스하임,원봉공원힐데스하임,중부,충청북도,청주시 상당구,용암동,충청북도 청주시 상당구 용암동 222,1211,17,"102,111,113,114,117",36.60819187,127.5167751,확보,110,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,SKT
87,m-RAPA-2012-7033,경기도 수원시 권서구 평동 144-1 주상복합 신축공사,수원역푸르지오자이,수도권,경기도,수원시 권선구,평동,경기도 수원시 권선구 평동 144 1,152,3,미지정,37.26211647,126.998116,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-09-29,RAPA
88,m-RAPA-2306-2367,엘리프남위례역에듀포레아파트,엘리프남위례역에듀포레아파트,수도권,경기도,성남시 수정구,복정동,경기도 성남시 수정구 복정동 성남복정1 공공주택지구 B3,510,6,"101,103,105",37.45854769,127.1424594,확보,26,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,LGU+
89,m-RAPA-2307-2474,평택 BRAIN CITY 6BL 공동주택 신축공사,평택 브레인시티 6BL 로제비앙 모아엘가,수도권,경기도,평택시,장안동,경기도 평택시 장안동 평택 브레인시티 일반산업단지 공동6,1215,10,"601,604,608,610",37.05217378,127.0912639,확보,40,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,SKT
90,m-RAPA-2312-4405,도안푸르지오디아델29블록아파트,도안푸르지오디아델29블록아파트,중부,대전광역시,유성구,용계동,대전광역시 유성구 용계동 대전 도안2-5지구 도시개발구역 29,772,7,"2,901,290,329,042,900",36.32449741,127.3345862,확보,33,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,-
91,m-RAPA-2312-4406,도안푸르지오디아델31블록아파트,도안푸르지오디아델31블록아파트,중부,대전광역시,유성구,용계동,대전광역시 유성구 용계동 대전 도안2-5지구 도시개발구역 31,742,6,"310,131,023,105",36.32649361,127.3345557,확보,41,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-29,-
92,m-RAPA-2406-1750,군포대야미대방디에트르시그니처아파트,군포대야미대방디에트르시그니처아파트,수도권,경기도,군포시,둔대동,경기도 군포시 둔대동 57,640,6,"301,303,305",37.328152,126.902446,확보,13,complex_polygon+buffer0.0015,미보유,완료 (OK),66.5,3,6,184,2026-09-07 11:48:47,배치(자동),,2027,2027-09-29,LGU+
93,m-RAPA-2311-4074,힐스테이트도안리버파크2단지,힐스테이트도안리버파크2단지,중부,대전광역시,유성구,학하동,대전광역시 유성구 학하동 대전 도안 2-2지구 도시개발사업 SA4,1437,14,"201,203,205,207,209,000,000,000,000",36.32981992,127.3227364,확보,56,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-27,SKT
94,m-RAPA-2109-5792,의왕청계2지구 A-1BL 공동주택건설공사,의왕청계2 A1블록 신혼희망타운,수도권,경기도,의왕시,포일동,경기도 의왕시 포일동 의왕청계2 공공주택지구 A-1,480,10,미지정,37.39114217,126.9875782,확보,65,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-24,RAPA
95,m-RAPA-2303-1176,광주광역시 남구 진월동 지역주택조합 공동주택 신축공사,-,서부,전남광주통합특별시,남구,진월동,전남광주통합특별시 남구 진월동 3,300,9,미지정,-,-,미확보,0,,미보유,미분석,,,,,,,,2027,2027-09-23,RAPA
96,m-RAPA-2510-2861,경산대임 A-1BL 공공주택 건설공사,경산대임 A-1BL 공공주택,동부,경상북도,경산시,계양동,경상북도 경산시 계양동 경산대임 공공주택지구 A-1,440,4,미지정,35.83716157,128.7347503,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-09-23,RAPA
97,m-RAPA-2203-1552,신길동 1300 공동주택 (정오개발(주)),신길동 1300 역세권 청년주택,수도권,서울특별시,영등포구,신길동,서울특별시 영등포구 신길동 1300,264,1,1.지상1층: 기계식 주차시설 인근 지하층 환기부,37.51233827,126.9247923,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-09-20,RAPA
98,m-RAPA-2009-4621,인천부평 도시재생뉴딜 어울림플랫폼 복합개발사업,인천부평 도시재생뉴딜 어울림플랫폼,수도권,인천광역시,부평구,부평동,인천광역시 부평구 부평동 65 17,350,2,미지정,37.5029961,126.7194753,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-09-15,RAPA
99,m-RAPA-2207-4362,안동용상하늘채리버스카이아파트,안동용상하늘채리버스카이아파트,동부,경상북도,안동시,용상동,경상북도 안동시 용상동 494,547,9,"101,103,105,107,109",36.54935588,128.7680542,확보,146,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-10,LGU+
100,m-RAPA-2311-3810,둔산엘리프더센트럴아파트,둔산엘리프더센트럴아파트,중부,대전광역시,서구,괴정동,대전광역시 서구 괴정동 133,864,10,"102,105,106,109,110",36.33730364,127.3744397,확보,438,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-09,LGU+
101,m-RAPA-2111-6939,부천역곡 A2BL 공동주택 건설공사,부천역곡 A2BL 공동주택,수도권,경기도,부천시 원미구,역곡동,경기도 부천시 원미구 역곡동 부천역곡 공공주택지구 A2,1464,20,"201,204,207,211,214,000",37.49581387,126.80708,확보,45,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-09,KT
102,m-RAPA-2303-0800,프레스티어자이아파트,프레스티어자이아파트,수도권,경기도,과천시,별양동,경기도 과천시 별양동 7,1445,11,"401,404,406,407,408,000,000",37.426436,126.99369,확보,166,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-09,LGU+
103,m-RAPA-1904-2402,광명롯데캐슬시그니처아파트,광명롯데캐슬시그니처아파트,수도권,경기도,광명시,광명동,경기도 광명시 광명동 275 3,1498,15,상세란 참조,37.47559347,126.8492733,확보,566,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-09,KT
104,m-RAPA-2104-2092,순천 용당 더숲 지역주택조합 아파트 신축공사,순천 한양립스 파크포레,서부,전남광주통합특별시,순천시,용당동,전남광주통합특별시 순천시 용당동 288 1,463,13,미지정,34.97595822,127.4980712,확보,72,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-09,RAPA
105,m-RAPA-2303-0883,부산 에코델타시티 31블록 공동주택 건설공사,부산 에코델타시티 대방 엘리움 리버뷰,동부,부산광역시,강서구,대저2동,부산광역시 강서구 대저2동 부산 에코델타시티 친수구역 공동31,470,11,미지정,35.14054786,128.9274087,확보,14,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-09-08,RAPA
106,m-RAPA-2010-5590,김해진례 C-1BL 공동주택 건설공사,-,동부,경상남도,김해시,진례면,경상남도 김해시 진례면 송정리 김해진례 공공지원민간임대주택 공급촉진지구 C-1,726,10,"10,011,005,100,710,000,000",35.24260525,128.7394005,미확보,0,error,미보유,완료 (OK),33.9,1,2,1,2026-08-17 22:14:25,배치(자동),,2027,2027-09-06,LGU+
107,m-RAPA-2108-5323,힐스테이트더샵상생공원1단지,힐스테이트더샵상생공원1단지,동부,경상북도,포항시 남구,대잠동,경상북도 포항시 남구 대잠동 양학근린공원 민간공원조성 특례사업 1,999,7,"101,102,103,105,106",36.02213851,129.3339078,확보,43,complex_polygon+buffer0.0015,미보유,완료 (OK),70.2,2,5,117,2026-09-07 05:31:58,배치(자동),,2027,2027-08-31,SKT
108,m-RAPA-2307-2513,청평수자인더퍼스트아파트,청평수자인더퍼스트아파트,수도권,경기도,가평군,청평면,경기도 가평군 청평면 청평리 81 18,553,4,"102,104",37.744511,127.423082,확보,25,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-30,KT
109,m-RAPA-2111-6918,충북음성대소삼정지구3BL,충북음성대소삼정지구3BL,중부,충청북도,음성군,대소면,충청북도 음성군 대소면 삼정리 음성 대소 삼정지구 도시개발구역 A3,510,6,"301,305",36.95856189,127.4955072,미확보,0,error,미보유,미분석,,,,,,,,2027,2027-08-30,-
110,m-RAPA-2006-3299,문화자이SKVIEW,문화자이SKVIEW,중부,대전광역시,중구,문화동,대전광역시 중구 문화동 435 42,1766,19,"101,102,106,108,110,000,000,000,000",36.31050248,127.4060243,확보,488,complex_polygon+buffer0.0015,미보유,미분석,,,,,,,,2027,2027-08-30,SKT
