본부,사업년도,RAPA식별코드,공사명,건물명/도로명,건물명 출처,유형,주용도,공사구분,시도,시군구,읍면동,번,지,리,시도_보정,시군구_보정,읍면동_보정,리_보정,번_보정,지_보정,대지구분,대지면적,연면적(지상),연면적(지하),연면적(합계),지상층수,지하층수,동,세대수,EV 설치 예상 대수,주차대수,세대당주차대수,도로구간(m),준공예정일,수정 준공예정일,입주자사전점검일,준공사,주소,공동망,관로동,위도,경도,RAPA등록_검증,준공예정일_검증,동수_검증,층수_검증,위경도_검증,최종검증결과
수도권,2027,m-RAPA-2307-2735,휴먼빌일산클래스원아파트,휴먼빌일산클래스원아파트,APT,아파트,공동주택,건물,경기도,고양시 일산동구,식사동,고양 풍동2지구 3블럭 도시개발사업,공동주택2,-,-,-,-,-,-,-,블록,-,61570.704,30763.6462,92334.3502,34,2,4,529,8,0,1.3,-,2027-04-29,-,2027-03-14,LGU+,경기도 고양시 일산동구 식사동 고양 풍동2지구 3블럭 도시개발사업 공동주택2,단독,"201,202,203,204",37.66942265,126.8050163,등록,동일,동일,동일,동일,정상
수도권,2027,m-RAPA-2309-3449,고양장항아테라아파트,고양장항아테라아파트,APT,아파트,공동주택,건물,경기도,고양시 일산동구,장항동,고양장항 공공주택지구,B-3,-,-,-,-,-,-,-,블록,-,84724.3372,38037.4317,122761.7689,29,2,8,760,16,-,1.3,-,2027-04-29,-,2027-03-14,LGU+,경기도 고양시 일산동구 장항동 고양장항 공공주택지구 B-3,미등록,"301,302,304,306,308",37.647882,126.759628,등록,-,-,-,-,미검증
수도권,2027,m-KT-2511-1381,갈현동 지식정보타운 S2블록 과천디에트르퍼스티지아파트,과천 디에트르 퍼스티지,APT,아파트,공동주택,건물,경기도,과천시,갈현동,822,-,-,-,-,-,-,-,-,대지,-,0,0,0,23,0,0,740,0,-,1.3,-,2027-04-29,-,2027-03-15,SKT,경기도 과천시 갈현동 822,단독,-,-,-,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2307-2632,사하구 장림동 의료시설,장림 두산위브더제니스 센트럴사하,APT,일반,-,-,부산광역시,사하구,장림동,282,-,-,-,-,-,-,-,-,대지,-,8536.49,2527.06,11063.55,10,2,1,0,2,-,1.3,-,2027-04-29,-,2027-04-29,RAPA,부산광역시 사하구 장림동 282,미등록,해당사항없음,35.07678434,128.9766641,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2503-0787,전주시 덕진구 호성동 2가 공동 주택(연립 주택) 신축공사,전주에코시티더클래스,APT,500세대 미만,-,-,전북특별자치도,전주시 덕진구,호성동2가,801,31,-,-,-,-,-,-,-,대지,-,7271.0248,3872.3905,11143.4153,4,2,4,44,8,-,1.3,-,2027-04-29,-,2027-03-14,RAPA,전북특별자치도 전주시 덕진구 호성동2가 801 31,미등록,해당없음,35.87746101,127.1421582,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2205-2627,김해삼계푸르지오센트럴파크,김해삼계푸르지오센트럴파크,APT,아파트,공동주택,건물,경상남도,김해시,삼계동,1027,3,-,-,-,-,-,-,-,대지,-,72429.745,35228.3436,107658.0886,28,3,6,630,12,866,1.37,-,2027-04-28,-,2027-03-13,KT,경상남도 김해시 삼계동 1027 3,미등록,"101,102,105",35.27532258,128.8615856,등록,동일,동일,동일,동일,정상
동부,2027,m-RAPA-2106-3853,부산에코델타시티디에트르그랑루체아파트,부산에코델타시티디에트르그랑루체아파트,APT,아파트,공동주택,건물,부산광역시,강서구,강동동,부산 에코델타시티 친수구역,-,-,-,-,-,-,-,-,블록,-,176462.8944,94437.6718,270900.5662,14,2,27,1470,54,2443,1.66,-,2027-04-23,-,2027-03-08,LGU+,부산광역시 강서구 강동동 부산 에코델타시티 친수구역,단독,"201,202,203,204,207,000,000,000,000,000,000,000,000,000,000,000",35.15780734,128.9173637,등록,상이(웹검색결과: 2027.05),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-1908-4373,평택고덕 신도시 A-43블록 공동주택 건설공사,호반써밋 고덕신도시 2차,APT,500세대 이상,-,-,경기도,평택시,고덕동,고덕 국제화계획지구 및 택지개발지구,A-43,-,-,-,-,-,-,-,블록,-,85995.3852,33788.2911,119783.6763,35,1,7,766,14,-,1.3,-,2027-04-22,-,2027-03-07,LGU+,경기도 평택시 고덕동 고덕 국제화계획지구 및 택지개발지구 A-43,단독,"301,305",37.03712468,127.0307388,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2211-6215,고덕국제신도시서한이다음그레이튼아파트,고덕국제신도시서한이다음그레이튼아파트,APT,아파트,공동주택,건물,경기도,평택시,고덕동,2394,2,-,-,-,-,-,-,-,대지,-,127813.7134,62733.5044,190547.2178,25,2,11,1138,22,1595,1.4,-,2027-04-22,-,2027-03-04,LGU+,경기도 평택시 고덕동 2394 2,단독,"15,021,504,150,615,000,000",37.05739278,127.0413162,등록,상이(웹검색결과: 2027.05),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2308-2764,홍천 북방지구 공공임대주택,홍천 북방지구 강원형 공공임대주택,APT,500세대 미만,-,-,강원특별자치도,홍천군,북방면,27,14,하화계리,-,-,-,-,-,-,대지,-,5379.7409,1956.018,7335.7589,13,1,1,80,2,-,1.3,-,2027-04-21,-,2027-03-06,RAPA,강원특별자치도 홍천군 북방면 하화계리 27 14,LGU+,1. 지상1층: D.A 상부 외벽,37.69042718,127.8685582,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2202-0851,영종진아레히아파트,영종진아레히아파트,APT,아파트,공동주택,건물,인천광역시,영종구,운남동,1654,1,-,-,-,-,-,-,-,대지,-,61511.8698,29770.4186,91282.2884,24,1,7,547,14,821,1.5,-,2027-04-08,-,2027-02-21,KT,인천광역시 영종구 운남동 1654 1,미등록,"552,554,557",37.483948,126.528106,등록,상이(웹검색결과: 2027.05),동일,동일,동일,준공예정일 확인 필요
중부,2027,m-RAPA-1911-5808,쌍용더플래티넘네이처,쌍용더플래티넘네이처,APT,아파트,공동주택,건물,대전광역시,대덕구,읍내동,51,18,-,-,-,-,-,-,-,대지,-,68355.733,38118.5954,106474.3284,25,2,11,761,22,996,1.31,-,2027-04-08,-,2027-02-21,LGU+,대전광역시 대덕구 읍내동 51 18,미등록,"102,103,107,109,111",36.37700445,127.4252624,등록,상이(웹검색결과: 2027.05),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2307-2703,과천디에트르퍼스티지아파트,과천디에트르퍼스티지아파트,APT,아파트,공동주택,건물,경기도,과천시,문원동,과천지식정보타운 공공주택지구,S2,-,-,-,-,-,-,-,블록,-,62652.8764,70967.1579,133620.0343,28,3,6,740,12,-,1.3,-,2027-04-08,-,2027-02-21,-,경기도 과천시 문원동 과천지식정보타운 공공주택지구 S2,단독,"203,204,205,206",37.416389,126.98898,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2301-0161,봉산공원첨단제일풍경채,봉산공원첨단제일풍경채,APT,아파트,공동주택,건물,전남광주통합특별시,광산구,산월동,22,-,-,-,-,-,-,-,-,산,-,115649.3849,60751.1341,176400.519,24,2,10,948,20,1525,1.61,-,2027-04-08,-,2027-02-21,-,전남광주통합특별시 광산구 산월동 22,미등록,"104,105,106,107",35.20367394,126.8448081,등록,상이(웹검색결과: 2027.05),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2012-6898,더샵분당센트로아파트,더샵분당센트로아파트,APT,아파트,공동주택,건물,경기도,성남시 분당구,구미동,220,-,-,-,-,-,-,-,-,대지,-,65031.75,46413.94,111445.69,26,3,7,647,14,-,1.3,-,2027-04-02,-,2027-02-15,LGU+,경기도 성남시 분당구 구미동 220,단독,"401,405",37.33929313,127.1169239,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2106-3833,경북청도 행복주택 및 생활혁신센터 건설공사,경북청도 행복주택,APT,500세대 미만,-,-,경상북도,청도군,청도읍,498,-,고수리,-,-,-,-,-,-,대지,-,7097.34,2890.79,9988.13,11,1,1,42,2,-,1.3,-,2027-03-31,-,2027-02-13,RAPA,경상북도 청도군 청도읍 고수리 498,KT,1. 지상1층 : D.A 상부 인근,35.64543155,128.7412663,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2206-3734,서초구 양재동 1-26번지 역세권 청년주택,서초구 양재동 1-26번지 역세권 청년주택,APT,아파트,공동주택,건물,서울특별시,서초구,양재동,1,26,-,-,-,-,-,-,-,대지,-,21399.8947,11267.5018,32667.3965,22,7,1,342,2,-,1.3,-,2027-03-31,-,2027-02-13,LGU+,서울특별시 서초구 양재동 1 26,미등록,해당사항없음,37.48486513,127.0391139,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2402-0382,대구국가산단 A7-1BL 행복주택 건설공사,대구국가산단A7-1BL 행복주택,APT,500세대 미만,-,-,대구광역시,달성군,구지면,대구국가산업단지,A7-1BL,대암리,대구광역시,달성군,구지면,대암리,996,-,블록,-,23850.79,8512,32362.79,20,1,3,448,6,-,1.3,-,2027-03-31,-,2027-02-13,RAPA,대구광역시 달성군 구지면 대암리 대구국가산업단지 A7-1BL,단독,해당사항없음,35.62525678,128.4029251,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2507-1826,경기도 부천시 소사구 소사본동 82-1 외 2필지 (82-2 82-15) 공동주택 신축공사,-,APT,500세대 미만,-,-,경기도,부천시 소사구,소사본동,82,1,-,-,-,-,-,-,-,대지,-,4106.26,1093.61,5199.87,12,1,1,43,2,-,1.3,-,2027-03-31,-,2027-02-13,RAPA,경기도 부천시 소사구 소사본동 82 1,단독,1. 지상1층 : D.A 상부 인근외벽,37.47929861,126.7952024,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2405-1516,익산 부송4지구 A블럭 민간참여 공공주택 건설사업,익산 부송4지구 A블록 공공임대아파트,APT,아파트,공동주택,건물,전북특별자치도,익산시,부송동,293,2,-,-,-,-,-,-,-,대지,-,26230.5632,8494.4849,34725.0481,20,1,4,300,8,-,1.3,-,2027-03-30,-,2027-02-12,-,전북특별자치도 익산시 부송동 293 2,미등록,해당없음,35.96597522,126.9927771,등록,-,-,-,-,미검증
중부,2027,m-RAPA-1901-0209,힐스테이트가장더퍼스트아파트,힐스테이트가장더퍼스트아파트,APT,아파트,공동주택,건물,대전광역시,서구,가장동,38,1,-,-,-,-,-,-,-,대지,-,185016.9922,94014.0735,279031.0657,38,2,15,1779,30,-,1.3,-,2027-03-30,-,2027-02-12,SKT,대전광역시 서구 가장동 38 1,단독,"104,106,109,113,115",36.32945081,127.3850095,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2106-3695,더샵시에르네,더샵시에르네,APT,아파트,공동주택,건물,울산광역시,중구,학성동,397,1,-,-,-,-,-,-,-,대지,-,88611.0899,49906.3347,138517.4246,21,3,13,788,26,1074,1.36,-,2027-03-30,-,2027-01-03,SKT,울산광역시 중구 학성동 397 1,단독,"102,104,107,109,112",35.55922338,129.3322252,등록,상이(웹검색결과: 2027.05),동일,동일,동일,준공예정일 확인 필요
동부,2027,m-RAPA-2112-8222,일광노르웨이숲오션포레,일광노르웨이숲오션포레,APT,아파트,공동주택,건물,부산광역시,기장군,일광읍,720,2,이천리,-,-,-,-,-,-,대지,-,158273.0766,81875.0655,240148.1421,29,3,11,1294,22,1962,1.52,-,2027-03-30,-,2027-02-12,KT,부산광역시 기장군 일광읍 이천리 720 2,단독,"101,102,104,106,109,000",35.27085697,129.2275989,등록,동일,동일,동일,동일,정상
수도권,2027,m-RAPA-2509-2393,화성시 향남읍 상신리 61-8번지(상신2지구) 공동주택 신축공사,화성 상신2지구 공동주택,APT,500세대 미만,-,-,경기도,화성시 만세구,향남읍,61,8,상신리,-,-,-,-,-,-,대지,-,6198.3723,2335.531,8533.9033,13,1,2,75,4,-,1.3,-,2027-03-30,-,2027-02-12,RAPA,경기도 화성시 만세구 향남읍 상신리 61 8,미등록,1. 지상1층 : D.A 상부 인근,37.11167093,126.9012782,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2105-3094,평창동 주거복합단지 신축공사,평창동 주거복합단지,APT,500세대 미만,-,-,서울특별시,종로구,평창동,113,1,-,-,-,-,-,-,-,대지,-,16009.09,10685.7,26694.79,6,2,1,201,2,-,1.3,-,2027-03-30,-,2027-02-12,RAPA,서울특별시 종로구 평창동 113 1,단독,해당없음,37.61105974,126.9770178,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2004-1607,도마포레나해모로,도마포레나해모로,APT,아파트,공동주택,건물,대전광역시,서구,도마동,181,1,-,-,-,-,-,-,-,대지,-,80700.25,53159.65,133859.9,34,3,7,818,14,1144,1.4,-,2027-03-30,-,2027-01-03,LGU+,대전광역시 서구 도마동 181 1,미등록,"103,105,107",36.31133098,127.3812961,등록,동일,동일,동일,동일,정상
수도권,2027,m-LG-2604-0376,두산위브더제니스센트럴용인아파트,두산위브더제니스센트럴용인아파트,APT,아파트,공동주택,건물,경기도,용인시 처인구,삼가동,174,-,-,-,-,-,-,-,-,대지,-,0,0,77619,25,2,7,568,14,682,1.2,-,2027-03-30,-,2027-02-13,LGU+,경기도 용인시 처인구 삼가동 174,단독,-,-,-,등록,동일,동일,동일,"상이(웹검색결과: 37.242(위도), 127.166(경도))",위경도 확인 필요
동부,2027,m-RAPA-1805-04-02-2732,양정롯데캐슬프론티엘아파트,양정롯데캐슬프론티엘아파트,APT,아파트,공동주택,건물,부산광역시,부산진구,양정동,64,3,-,-,-,-,-,-,-,대지,-,0,0,135006.09,28,2,10,903,20,-,1.3,-,2027-03-30,-,2027-02-12,LGU+,부산광역시 부산진구 양정동 64 3,미등록,"102,103,105,204",35.17280242,129.0738966,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2012-6980,함평군 함평읍 기각지구 1-6BL 아파트 신축공사,함평 서현 수와일 리버파크,APT,500세대 미만,-,-,전남광주통합특별시,함평군,함평읍,198,-,기각리,-,-,-,-,-,-,대지,-,18200.7846,7303.9582,25504.7428,20,2,3,160,6,-,1.3,-,2027-03-29,-,2027-02-11,RAPA,전남광주통합특별시 함평군 함평읍 기각리 198,LGU+,해당없음,35.06216661,126.5265123,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2211-6460,제천 채움하우스 임대주택 건설공사,제천 채움하우스,APT,500세대 미만,-,-,충청북도,제천시,영천동,1383,2,-,-,-,-,-,-,-,대지,-,4210.18,493.71,4703.89,7,1,2,50,4,-,1.3,-,2027-03-20,-,2027-02-02,RAPA,충청북도 제천시 영천동 1383 2,미등록,1. 지상1층: D.A 상부 외벽,37.12715294,128.2085063,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2207-4386,운암산공원우미린리버포레,운암산공원우미린리버포레,APT,아파트,공동주택,건물,전남광주통합특별시,북구,동림동,76,-,-,-,-,-,-,-,-,산,-,88382.72,50827.86,139210.58,29,4,6,734,12,1052,1.43,-,2027-03-14,-,2027-01-27,-,전남광주통합특별시 북구 동림동 76,단독,"103,105",35.18102744,126.8635366,등록,상이(웹검색결과: 2027.06),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2204-1897,춘천아테라에듀파크,춘천아테라에듀파크,APT,아파트,공동주택,건물,강원특별자치도,춘천시,동면,770,6,만천리,-,-,-,-,-,-,대지,-,54517.9591,28364.2876,82882.2467,29,2,4,477,8,746,1.56,-,2027-03-14,-,2027-01-27,LGU+,강원특별자치도 춘천시 동면 만천리 770 6,LGU+,해당없음,37.88541777,127.7576643,등록,상이(웹검색결과: 2027.06),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2109-5838,양평하늘채센트로힐스아파트,양평하늘채센트로힐스아파트,APT,아파트,공동주택,건물,경기도,양평군,양평읍,661,7,덕평리,-,-,-,-,-,-,대지,-,51483.0924,30580.9515,82064.0439,22,4,7,539,14,-,1.3,-,2027-03-14,-,2027-01-27,KT,경기도 양평군 양평읍 덕평리 661 7,KT,"102,105,107",37.50070058,127.4810555,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2211-6571,제일풍경채운정아파트,제일풍경채운정아파트,APT,아파트,공동주택,건물,경기도,파주시,동패동,2276,-,-,-,-,-,-,-,-,대지,-,64020.7,21311.63,85332.33,28,1,11,520,22,750,1.44,-,2027-03-11,-,2027-01-24,LGU+,경기도 파주시 동패동 2276,미등록,"803,806,808,810,811",37.72196,126.730494,등록,상이(웹검색결과: 2027.04),동일,동일,동일,준공예정일 확인 필요
서부,2027,m-RAPA-2304-1421,제주중부공원제일풍경채센트럴파크,제주중부공원제일풍경채센트럴파크,APT,아파트,공동주택,건물,제주특별자치도,제주시,건입동,167,-,-,-,-,-,-,-,-,대지,-,89755.9714,64877.8486,154633.82,15,4,12,728,24,1336,1.84,-,2027-03-11,-,2027-01-03,-,제주특별자치도 제주시 건입동 167,단독,"103,108,109",33.507773,126.548273,등록,상이(웹검색결과: 2027.04),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2208-4590,남양주왕숙 B2BL 공동주택 건설공사,남양주왕숙 B-2BL 공동주택,APT,500세대 이상,-,-,경기도,남양주시,진접읍,남양주왕숙 공공주택지구,B2,연평리,경기도,남양주시,진접읍,연평리,532,-,블록,-,64469.83,31841.53,96311.36,25,2,10,587,20,-,1.3,-,2027-03-11,-,2027-01-25,KT,경기도 남양주시 진접읍 연평리 남양주왕숙 공공주택지구 B2,단독,"201,203,205,207,209",37.68487466,127.1716445,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2404-0904,군산시 조촌동 770번지 일원 공동주택 신축공사,-,APT,아파트,공동주택,건물,전북특별자치도,군산시,조촌동,770,-,-,-,-,-,-,-,-,대지,-,32667.3837,804.8814,33472.2651,32,1,2,176,4,-,1.3,-,2027-03-09,-,2027-05-28,-,전북특별자치도 군산시 조촌동 770,단독,해당없음,35.96364872,126.7376922,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2302-0494,대명아파트 가로주택정비사업,-,APT,아파트,공동주택,건물,서울특별시,강동구,암사동,447,8,-,-,-,-,-,-,-,대지,-,8069.58,5284.09,13353.67,18,2,1,94,2,-,1.3,-,2027-03-06,-,2027-01-06,LGU+,서울특별시 강동구 암사동 447 8,미등록,1.지상1층: 지하주차장 환기부 인근 건축물 외벽(도로향),37.55525839,127.1357616,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2110-6180,경기도 의정부시 녹양동 일원 의정부우정 공공주택지구 A2BL,의정부우정A2블록,APT,500세대 미만,-,-,경기도,의정부시,녹양동,의정부우정 공공주택지구,A2,-,-,-,-,-,-,-,블록,-,39222.74,23206.04,62428.78,20,2,6,463,12,-,1.3,-,2027-02-28,-,2027-01-13,RAPA,경기도 의정부시 녹양동 의정부우정 공공주택지구 A2,단독,해당사항없음,37.76196526,127.0319807,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2006-2744,나주영산윤슬의아침더정원아파트,나주영산윤슬의아침더정원아파트,APT,아파트,공동주택,건물,전남광주통합특별시,나주시,이창동,714,-,-,-,-,-,-,-,-,대지,-,34821.5343,13805.6065,48627.1408,20,2,4,302,8,-,1.3,-,2027-02-28,-,2027-01-13,-,전남광주통합특별시 나주시 이창동 714,단독,해당없음,34.99507747,126.7033603,등록,-,-,-,-,미검증
수도권,2027,m-SK-2605-0549,창경궁롯데캐슬시그니처,-,APT,아파트(인빌딩),공동주택,건물,서울특별시,성북구,삼선동2가,296,-,-,-,-,-,-,-,-,대지,-,0,0,10000,18,4,19,1223,38,1479,1.21,-,2027-02-27,-,2027-01-13,-,서울특별시 성북구 삼선동2가 296,미등록,-,-,-,등록,상이(웹검색결과: 2027.04),동일,동일,"상이(웹검색결과: 37.584(위도), 127.011(경도))","준공예정일 확인 필요, 위경도 확인 필요"
수도권,2027,m-KT-2606-0624,푸르지오라디우스파크아파트,푸르지오라디우스파크아파트,APT,아파트(인빌딩),공동주택,건물,서울특별시,성북구,장위동,25,55,-,-,-,-,-,-,-,대지,-,0,0,10000,33,3,15,1637,30,-,1.3,-,2027-02-27,-,2027-01-13,KT,서울특별시 성북구 장위동 25 55,미등록,-,-,-,등록,-,-,-,-,미검증
수도권,2027,m-KT-2605-0576,성동자이리버뷰아파트,성동자이리버뷰아파트,APT,아파트(인빌딩),공동주택,건물,서울특별시,성동구,용답동,108,1,-,-,-,-,-,-,-,대지,-,155579,80481,236060,35,2,14,1670,28,2198,1.32,-,2027-02-27,-,2027-01-13,KT,서울특별시 성동구 용답동 108 1,단독,-,-,-,등록,동일,동일,동일,"상이(웹검색결과: 37.567(위도), 127.050(경도))",위경도 확인 필요
수도권,2027,m-RAPA-2307-2403,영통자이센트럴파크아파트,영통자이센트럴파크아파트,APT,아파트,공동주택,건물,경기도,수원시 영통구,영통동,961,11,-,-,-,-,-,-,-,대지,-,64531.3579,33418.1549,97949.5128,29,2,7,580,14,-,1.3,-,2027-02-27,-,2027-01-12,SKT,경기도 수원시 영통구 영통동 961 11,미등록,"102,105,107",37.254307,127.068014,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2304-1364,안성당왕경남아너스빌하이스트_아파트,안성당왕경남아너스빌하이스트_아파트,APT,아파트,공동주택,건물,경기도,안성시,신소현동,안성(당왕지구) 도시관리계획,1,-,-,-,-,-,-,-,블록,-,109292.5405,53977.5405,163270.081,29,2,12,976,24,0,1.3,-,2027-02-27,-,2027-01-14,LGU+,경기도 안성시 신소현동 안성(당왕지구) 도시관리계획 1,미등록,"104,106,108,110,112",37.020481,127.257844,등록,상이(웹검색결과: 2027.03),동일,동일,동일,준공예정일 확인 필요
수도권,2027,m-RAPA-2209-5389,수원 팔달구 인계동 공공지원임대주택 신축공사,수원 인계동 공공지원 임대주택,APT,아파트,공동주택,건물,경기도,수원시 팔달구,인계동,754,1,-,-,-,-,-,-,-,대지,-,24248.09,14232.22,38480.31,15,3,3,216,6,-,1.3,-,2027-02-27,-,2027-01-12,LGU+,경기도 수원시 팔달구 인계동 754 1,단독,해당없음,37.27443328,127.021141,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2202-0637,부여쌍북골드클래스,부여쌍북골드클래스,APT,아파트,공동주택,건물,충청남도,부여군,부여읍,595,-,쌍북리,-,-,-,-,-,-,대지,-,44164.6962,25520.3002,69684.9964,8,1,11,413,22,-,1.3,-,2027-02-27,-,2027-01-12,SKT,충청남도 부여군 부여읍 쌍북리 595,SKT,해당사항없음,36.28221113,126.9193897,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-1812-7635,르엘이촌아파트,르엘이촌아파트,APT,아파트,공동주택,건물,서울특별시,용산구,이촌동,301,160,-,-,-,-,-,-,-,대지,-,115075.54,63134.52,178210.06,27,3,11,750,22,-,1.3,-,2027-02-27,-,2027-01-12,LGU+,서울특별시 용산구 이촌동 301 160,미등록,"31,32,34",37.518592,126.9808379,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2201-0482,힐스테이트더웨이브시티아파트,힐스테이트더웨이브시티아파트,APT,아파트,공동주택,건물,경기도,시흥시,정왕동,2716,-,-,-,-,-,-,-,-,대지,-,225010.67,139445.11,364455.78,35,3,12,851,24,-,1.3,-,2027-02-25,-,2027-01-11,LGU+,경기도 시흥시 정왕동 2716,미등록,"101,102,105,106,107,000,000",37.321981,126.685644,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2301-0126,수송동 757-1번지 일원 공동주택 신축공사,수송동 아르티엠,APT,500세대 미만,-,-,전북특별자치도,군산시,수송동,757,1,-,-,-,-,-,-,-,대지,-,4290.8082,1153.208,5444.0162,15,1,2,40,4,-,1.3,-,2027-02-24,-,2027-01-09,RAPA,전북특별자치도 군산시 수송동 757 1,단독,1. 지상1층 : 지하주차장 D.A 인근 외벽,35.96959202,126.7113548,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2304-1530,제일풍경채검단IV_아파트,제일풍경채검단IV_아파트,APT,아파트,공동주택,건물,인천광역시,검단구,불로동,963,1,-,-,-,-,-,-,-,대지,-,125678.15,65733.4551,191411.6051,25,4,10,1050,20,-,1.3,-,2027-02-17,-,2027-01-02,SKT,인천광역시 검단구 불로동 963 1,미등록,"101,104,106,108,110",37.61495041,126.6985043,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2212-6846,일산e편한세상메이포레3단지_아파트,일산e편한세상메이포레3단지_아파트,APT,아파트,공동주택,건물,경기도,고양시 일산동구,풍동,풍동2지구 4블럭 도시개발구역,A3,-,-,-,-,-,-,-,블록,-,48562.2,22829.27,71391.47,36,2,4,457,8,-,1.3,-,2027-02-14,-,2026-12-30,LGU+,경기도 고양시 일산동구 풍동 풍동2지구 4블럭 도시개발구역 A3,미등록,해당사항없음,37.66599,126.803625,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2212-6842,일산e편한세상메이포레1단지_아파트,일산e편한세상메이포레1단지_아파트,APT,아파트,공동주택,건물,경기도,고양시 일산동구,풍동,풍동2지구 4블럭 도시개발구역,A1,-,-,-,-,-,-,-,블록,-,36568.23,16493.26,53061.49,36,2,4,321,8,-,1.3,-,2027-02-14,-,2026-12-30,SKT,경기도 고양시 일산동구 풍동 풍동2지구 4블럭 도시개발구역 A1,미등록,해당사항없음,37.664436,126.800823,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2212-6843,일산e편한세상메이포레2단지_아파트,일산e편한세상메이포레2단지_아파트,APT,아파트,공동주택,건물,경기도,고양시 일산동구,풍동,풍동2지구 4블럭 도시개발구역,A2,-,-,-,-,-,-,-,블록,-,60141.43,27383.99,87525.42,36,2,5,564,10,-,1.3,-,2027-02-14,-,2026-12-30,KT,경기도 고양시 일산동구 풍동 풍동2지구 4블럭 도시개발구역 A2,미등록,"202,203,204",37.663408,126.801834,등록,-,-,-,-,미검증
중부,2027,m-RAPA-1812-7573,가양동다우갤러리휴리움아파트,가양동다우갤러리휴리움아파트,APT,아파트,공동주택,건물,대전광역시,동구,가양동,53,4,-,-,-,-,-,-,-,대지,-,23244.3512,7890.0496,31134.4008,23,2,4,224,8,286,1.28,-,2027-02-12,-,2026-12-28,KT,대전광역시 동구 가양동 53 4,미등록,해당사항없음,36.34911167,127.4502763,등록,동일,동일,동일,동일,정상
수도권,2027,m-RAPA-2110-6387,남양주왕숙 B-1BL 공동주택건설공사,왕숙 푸르지오 더 퍼스트 1단지,APT,500세대 이상,-,-,경기도,남양주시,진접읍,남양주왕숙 공공주택지구,B-1,연평리,경기도,남양주시,진접읍,연평리,768,-,블록,-,61234.76,36209.53,97444.29,25,2,9,560,18,-,1.3,-,2027-02-11,-,2026-12-28,SKT,경기도 남양주시 진접읍 연평리 남양주왕숙 공공주택지구 B-1,단독,"103,105,108",37.68837914,127.1718652,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2110-6422,하남교산 A2BL 공동주택 건설공사,교산 푸르지오 더 퍼스트,APT,500세대 이상,-,-,경기도,하남시,천현동,하남교산 공공주택지구,A2,-,-,-,-,-,-,-,블록,-,94716.89,55791.13,150508.02,29,2,14,1115,28,-,1.3,-,2027-02-11,-,2026-12-28,KT,경기도 하남시 천현동 하남교산 공공주택지구 A2,단독,"203,204,207,209,213,000",37.53692854,127.2177142,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2110-6142,남양주왕숙 B17BL 공동주택(공공분양) 건설공사,남양주왕숙 B-17블록 공공분양,APT,500세대 미만,-,-,경기도,남양주시,진건읍,남양주왕숙 공공주택지구,B17,진관리,경기도,남양주시,진건읍,진관리,146,6,블록,-,56851.53,28030.3,84881.83,25,2,8,499,16,-,1.3,-,2027-02-11,-,2026-12-28,RAPA,경기도 남양주시 진건읍 진관리 남양주왕숙 공공주택지구 B17,단독,해당사항없음,37.65653966,127.1711005,등록,-,-,-,-,미검증
