본부,사업년도,RAPA식별코드,공사명,건물명/도로명,건물명 출처,유형,주용도,공사구분,시도,시군구,읍면동,번,지,리,시도_보정,시군구_보정,읍면동_보정,리_보정,번_보정,지_보정,대지구분,대지면적,연면적(지상),연면적(지하),연면적(합계),지상층수,지하층수,동,세대수,EV 설치 예상 대수,주차대수,세대당주차대수,도로구간(m),준공예정일,수정 준공예정일,입주자사전점검일,준공사,주소,공동망,관로동,위도,경도,RAPA등록_검증,준공예정일_검증,동수_검증,층수_검증,위경도_검증,최종검증결과
수도권,2027,m-RAPA-2305-1889,동두천시 송라지구 A-1BL 공동주택 신축공사,빌리브 라디체,APT,500세대 이상,-,-,경기도,동두천시,송내동,517,1,-,-,-,-,-,-,-,대지,-,99494.75,46858.78,146353.53,28,2,7,896,14,-,1.3,-,2027-06-29,-,2027-05-15,KT,경기도 동두천시 송내동 517 1,단독,"103,106,107",37.87853234,127.0547506,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2311-4001,울산태화강변A-2BL 공동주택 신축공사,울산태화강변지구 A-2블록,APT,아파트,공동주택,건물,울산광역시,울주군,범서읍,울산태화강변 공공주택지구,A-2,굴화리,울산광역시,울주군,범서읍,굴화리,13,4,블록,-,37536.61,23805.47,61342.08,15,2,8,435,16,-,1.3,-,2027-06-29,-,2027-05-14,SKT,울산광역시 울주군 범서읍 굴화리 울산태화강변 공공주택지구 A-2,단독,"201,202,203,204,208",35.5596755,129.259785,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2103-1408,구미대광로제비앙아파트,구미대광로제비앙아파트,APT,아파트,공동주택,건물,경상북도,구미시,산동읍,60,3,동곡리,-,-,-,-,-,-,산,-,260473.1581,147041.9008,407515.0589,26,2,31,2740,62,-,1.3,-,2027-06-27,-,2027-05-12,LGU+,경상북도 구미시 산동읍 동곡리 60 3,KT,"101,104,106,107,109,000,000,000,000,000,000,000,000,000,000",36.182579,128.443824,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2107-4632,대구연호지구 A3BL 공동주택 건설사업,대구연호 A3,APT,500세대 이상,-,-,대구광역시,수성구,연호동,대구연호 공공주택지구,A3,-,-,-,-,-,-,-,블록,-,32954.04,15821.86,48775.9,20,2,6,526,12,-,1.3,-,2027-06-21,-,2027-05-06,LGU+,대구광역시 수성구 연호동 대구연호 공공주택지구 A3,미등록,"301,303,306",35.84089294,128.6740395,등록,-,-,-,-,미검증
동부,2027,m-RAPA-1903-1809,새울본부 직원사택 신축 설계용역,새울본부 직원사택,APT,500세대 미만,-,-,울산광역시,울주군,서생면,23,1,신암리,-,-,-,-,-,-,산,-,17251.2889,7957,25208.6815,4,1,12,231,24,-,1.3,-,2027-06-17,-,2027-05-02,RAPA,울산광역시 울주군 서생면 신암리 23 1,단독,"601,612",35.35206721,129.3331659,등록,-,-,-,-,미검증
수도권,2027,m-RAPA-2107-4333,시흥동 현대아파트 주택재건축 정비사업,시흥동 현대아파트,APT,500세대 미만,-,-,서울특별시,금천구,시흥동,220,2,-,-,-,-,-,-,-,대지,-,19758.8431,11816.0832,31574.9263,12,4,5,219,10,-,1.3,-,2027-06-10,-,2027-04-25,RAPA,서울특별시 금천구 시흥동 220 2,미등록,해당사항없음,37.45358327,126.9136515,등록,-,-,-,-,미검증
서부,2027,m-RAPA-2307-2472,순천그랜드파크자이,순천그랜드파크자이,APT,아파트,공동주택,건물,전남광주통합특별시,순천시,풍덕동,순천 풍덕지구 도시개발사업,01월 02일,-,-,-,-,-,-,-,블록,-,129686.8133,63877.1001,193563.9134,29,2,9,997,18,1596,1.6,-,2027-06-10,-,2027-04-25,-,전남광주통합특별시 순천시 풍덕동 순천 풍덕지구 도시개발사업 1-2,단독,"202,204,207,209",34.93592043,127.508605,등록,상이(웹검색결과: 2027.07),동일,동일,동일,준공예정일 확인 필요
동부,2027,m-RAPA-2402-0467,다운2지구우미린어반파크아파트,다운2지구우미린어반파크아파트,APT,아파트,공동주택,건물,울산광역시,중구,다운동,302,4,-,-,-,-,-,-,-,대지,-,82934.2062,42185.3512,125119.5574,25,2,11,731,22,-,1.3,-,2027-06-10,-,2027-04-25,SKT,울산광역시 중구 다운동 302 4,단독,"102,103,104,105,108,000",35.58161792,129.2678447,등록,-,-,-,-,미검증
동부,2027,m-RAPA-2412-3487,범천동854-7 주상복합 신축공사,범천동 854-7 주상복합 신축공사 관련 공식 건물명 또는 아파트명을 확인할 수 있는 자료가 없습니다.,APT,일반,-,-,부산광역시,부산진구,범천동,854,7,-,-,-,-,-,-,-,대지,-,7524.16,463.01,7987.17,13,1,1,0,2,-,1.3,-,2027-06-09,-,2027-04-24,RAPA,부산광역시 부산진구 범천동 854 7,미등록,해당사항없음,35.14762347,129.0608045,등록,-,-,-,-,미검증
중부,2027,m-RAPA-2308-2891,제천서부 공동주택 복합개발 건설공사,-,APT,500세대 미만,-,-,충청북도,제천시,서부동,431,-,-,-,-,-,-,-,-,대지,-,4099.83,1623.03,5722.86,12,1,1,42,2,-,1.3,-,2027-06-08,-,2027-04-23,RAPA,충청북도 제천시 서부동 431,미등록,1. 지상1층: 배기D.A 상부 외벽,37.13724431,128.2048432,등록,-,-,-,-,미검증
